Date,Open,High,Low,Close,Adj Close,Volume
2024-11-16,91064.3671875,91763.9453125,90094.2265625,90558.4765625,90558.4765625,44333192814
2024-11-17,90558.4609375,91433.0390625,88741.6640625,89845.8515625,89845.8515625,46350159305
2024-11-18,89843.71875,92596.7890625,89393.59375,90542.640625,90542.640625,75535775084
2024-11-19,90536.8125,94002.8671875,90426.984375,92343.7890625,92343.7890625,74521048295
2024-11-20,92341.890625,94902.0234375,91619.5,94339.4921875,94339.4921875,71730956426
2024-11-21,94334.640625,99014.21875,94132.6015625,98504.7265625,98504.7265625,106024505582
2024-11-22,98496.4296875,99655.5,97222.6640625,98997.6640625,98997.6640625,78473580551
2024-11-23,99006.7421875,99014.6796875,97232.890625,97777.28125,97777.28125,44414644677
2024-11-24,97778.09375,98647.1796875,95788.078125,98013.8203125,98013.8203125,51712020623
2024-11-25,98033.4453125,98935.03125,92642.9140625,93102.296875,93102.296875,80909462490
2024-11-26,93087.28125,94991.75,90770.8125,91985.3203125,91985.3203125,91656519855
2024-11-27,91978.140625,97361.1796875,91778.6640625,95962.53125,95962.53125,71133452438
2024-11-28,95954.9453125,96650.203125,94677.3515625,95652.46875,95652.46875,52260008261
2024-11-29,95653.953125,98693.171875,95407.8828125,97461.5234375,97461.5234375,54968682476
2024-11-30,97468.8125,97499.34375,96144.21875,96449.0546875,96449.0546875,31634227866
2024-12-01,96461.3359375,97888.125,95770.1875,97279.7890625,97279.7890625,36590695296
2024-12-02,97276.0078125,98152.6015625,94482.8671875,95865.3046875,95865.3046875,72680784305
2024-12-03,95854.59375,96297.203125,93629.5625,96002.1640625,96002.1640625,67067810961
2024-12-04,95988.53125,99207.328125,94660.5234375,98768.53125,98768.53125,77199817112
2024-12-05,98741.5390625,103900.46875,91998.78125,96593.5703125,96593.5703125,149218945580
2024-12-06,97074.2265625,102039.8828125,96514.875,99920.7109375,99920.7109375,94534772658
2024-12-07,99916.7109375,100563.3828125,99030.8828125,99923.3359375,99923.3359375,44177510897
2024-12-08,99921.9140625,101399.9921875,98771.515625,101236.015625,101236.015625,44125751925
2024-12-09,101237.0625,101272.5078125,94355.9140625,97432.71875,97432.71875,110676473908
2024-12-10,97441.234375,98270.15625,94321.2578125,96675.4296875,96675.4296875,104823780634
2024-12-11,96656.0625,101913.359375,95747.2265625,101173.03125,101173.03125,85391409936
2024-12-12,101167.8046875,102524.9140625,99339.953125,100043.0,100043.0,72073983533
2024-12-13,100046.6484375,101888.8046875,99233.28125,101459.2578125,101459.2578125,56894751583
2024-12-14,101451.4375,102618.8828125,100634.0546875,101372.96875,101372.96875,40422968793
2024-12-15,101373.53125,105047.5390625,101227.03125,104298.6953125,104298.6953125,51145914137
2024-12-16,104447.6640625,107756.8359375,103377.9453125,105744.4296875,105744.4296875,91557724160
